id,main,title,party,substance_use,sex,romance,braggadocio,street_culture,humor,social_consciousness,introspection,rationale
10b240b9-e82d-5fd8-aa56-c4153c5a979c,Megan Thee Stallion,Cobra,0,0,0,0,0,0,0,0,1,"""reflects on her depression and being overlooked"""
4832c90b-4d5f-527d-a125-aba898fedfbc,Lupe Fiasco,Superstar,0,0,0,0,0,0,0,1,0,"""encourages his listeners to believe in themselves"""
83d961dc-e5d7-59e7-b85b-0928effdb722,Ludacris,Sex Room,0,0,1,0,0,0,0,0,0,"""describes how he will set up a sexual encounter with a woman"""
ae086876-6338-5fba-ac04-abfcb5796a47,Lovebug Starski,You've Gotta Believe,0,0,0,0,0,0,0,1,0,"""empowers listeners to believe in themselves"""
6e8914b4-93aa-581e-b274-fdfc9572c3bc,Lil' Kim,Not Tonight,0,0,1,0,0,0,0,0,0,"""tells stories of different men she slept with"""
4f2cd19b-d73f-51a5-b11a-4272393c1b59,Lil Durk,3 Headed Goat,0,0,0,0,0,1,0,0,0,"""calls himself the G.O.A.T. (greatest of all time)"""
511f2c32-7b82-5037-a4ea-e7bba0300741,Lil Durk,Finesse Out The Gang Way,0,0,0,0,0,1,0,0,0,"""expresses joy for becoming successful despite doubt from others"""
540e274b-f396-5ee4-8c63-4d243a780c8e,Lil Baby,Top Priority,0,0,0,0,1,0,0,0,0,"""threatens violence to people who wrong him"""
5e6336fb-23d0-56f7-9408-d560e8d84a02,Kurtis Blow,Daydreamin',0,0,0,1,0,0,0,0,0,"""expresses longing for his romantic partner by showing that he is constantly daydreaming about her"""
f37d76a4-073b-5d46-b71b-87e6ec30067d,Kurtis Blow,The Breaks,0,0,0,0,0,0,0,1,0,"""tells different stories about people going through everyday hardships"""
fb7b7b01-4b1c-50ba-b011-c189dca7a3d2,Kid Ink,Body Language,0,0,1,0,0,0,0,0,0,"""describes his ability to read when a woman is sexually interested in him"""
32f23c9d-005b-5688-a683-fa6cce8b1c34,Kendrick Lamar,i,0,0,0,0,1,0,0,0,0,"""empowering song about self-love"""
5a41908b-68e7-588d-9a77-b045263e577b,Kendrick Lamar,DNA.,0,0,0,0,1,1,0,1,0,"""explores the internal battle between shame for his history and feeling empowered that he has made it so far"""
36c765c3-f5b3-5594-9b0f-1f0965616f57,Kanye West,Touch The Sky,0,0,0,0,0,0,0,0,1,"""expresses gratitude for his success"""
c1ff03dd-d2b8-5d22-9a04-7f73f377139c,JAY-Z,Can't Knock The Hustle,0,1,0,0,1,1,0,0,0,"""describes himself as a hustler"""
f856d4e6-c744-5f16-a159-ba2b5007fa9d,J. Cole,Fire Squad,0,0,0,0,1,0,0,0,0,"""claims to be the greatest rapper and demeans other rappers"""
3388d9ad-dc25-5fb5-8780-03d3349afb70,iLoveMemphis,Hit The Quan,1,0,0,0,0,0,0,0,0,"""introduces a dance move for the audience to try"""
bceb3bb1-01ed-5003-ba84-d5535737cf11,Huey,"Pop, Lock & Drop It",1,0,1,0,0,0,0,0,0,"""instructs his listeners on how to move their butts"""
007b1a33-50d6-5ffc-90de-c18c4f2c4458,Grandmaster Melle Mel,Message II (Survival),0,0,0,0,0,0,0,1,0,"""describes the hardships that Black communities are facing with the drug war, economic strife, and unemployment"""
a4b3a2ec-a777-5626-8875-400806e911cc,Grandmaster Flash and the Furious Five,The Message,0,0,0,0,0,1,0,1,0,"""describes the difficulty of living in the hood"""
91c6aa70-db01-5eda-b723-c9f3aaa2822e,Grandmaster Flash & The Furious Five,Flash To The Beat,1,0,0,0,0,0,0,0,0,"""the DJ says that he wants to see the audience dance and shout"""
69a00fee-d728-5992-876b-f7192e5cf30e,Gorilla Zoe,Hood Figga,0,1,0,0,1,1,0,0,0,"""presents himself as more successful and desired by woman than other rappers"" "
6ea24bd7-1ba0-5f69-8100-4ddc78da01ed,Gangsta Boo,Nasty Trick,0,0,1,0,0,0,0,0,0,"""sexualizes a man, calling him a nasty trick"""
6842b4a6-062b-5e5f-bb39-53ef7544e5f0,FendiDa Rappa,Point Me 2,0,1,1,0,0,0,0,0,0,"""describes women as sluts and expresses desire to have sex"""
94da4d14-94e6-59be-947d-a5fd1dfc7fc9,Fabolous,Into You,0,0,0,1,1,0,0,0,0,"""discussing making wedding vows to his partner, spending money on his partner, and his partner's unconditional love for him"""
e88a2099-43d5-5c31-bdf9-f4bcaebad5b3,Eve,Gotta Man,0,1,1,0,1,0,0,0,0,"""expresses love for her significant other. Compares him to a thug and brags about her sexual prowess"""
239d7edb-8635-5542-9fb0-1c39287fe1d2,Eric B. & Rakim,Eric B. Is President,1,0,0,0,1,0,0,0,0,"""encourages audience to clap and claims to be the best MC"""
72f55ad0-50bb-52f2-8070-952a0a98c6d6,Eminem,Mockingbird,0,0,0,0,0,0,0,1,1,"""reassures his daughter that she will be okay"""
c6c4a159-e5b9-512d-800a-4abfb41ad7f9,Eminem,Just Lose It,1,0,0,0,0,0,1,0,0,"""the rapper takes on a humorous persona and tells the listeners to go crazy when dancing"""
6ac40dec-2a18-5124-9763-81e11c9bd964,Drake,Nice For What,1,0,0,0,0,0,0,1,0,"""encourages listeners to be happy and show off their success"""
e9068408-3240-5ee2-a1b7-b6ee9c17f58b,Drake,Forever,0,0,0,0,1,0,0,0,0,"""brags about success and rap skills"""
22358aa9-9822-5042-bdd7-22e731c8bc84,Dr. Jeckyll & Mr. Hyde,A.M. P.M.,1,0,0,0,1,0,0,0,0,"""brags about rapping ability and invites audience to dance"""
6fac855b-e7d9-5b9c-99cb-01102d0f2b24,Doctor Ice (2),Calling Doctor Ice,1,0,0,0,1,0,0,0,0,"""encourages the audience to dance and brags about his rapping prowess"""
d23339b0-94b4-5d58-87bd-cad44121feff,Divine Styler,Ain't Sayin' Nothin',1,0,0,0,1,0,0,1,0,"""instructs listeners to 'shake', claims to be a skilled rapper, expresses desire to educate Black people"""
68277cb8-a2da-5ad7-a259-f9f34b21c84f,De La Soul,Say No Go,0,0,0,0,0,0,1,1,1,"""uses the negative things people say about their appearances to make a point about self-confidence'"
d42eb53f-dbe8-51b7-9f78-b90ec95b2b7b,De La Soul,Me Myself And I,0,0,0,0,0,0,1,1,1,"""uses the negative things people say about their appearances to make a point about self-confidence'"
a7c9b3db-9749-556b-8bca-31a7cbf7bdff,Da Youngsta's,Crewz Pop,0,0,0,0,0,1,0,0,0,"""boasts about their resilience and rapping ability. Threatens those who try to harm them"""
96d6077c-4af4-502e-9e95-b61b0506f6b3,Da Brat,Funkdafied,0,0,0,0,1,0,0,0,0,"""brags about rapping ability"""
e4d43d59-814a-59de-abd4-e5c739801fd9,D4L,Betcha Can't Do It Like Me,1,0,0,0,0,0,0,0,0,"""instructs the listeners to stand on one toe, put their arms in the air, roll, pop, and lean back"""
b6f72611-a006-5b2f-99c4-b910f086a9be,Chingy,Balla Baby,0,0,1,0,1,0,0,0,0,"""calls himself a balla (baller meaning wealthy man), says he knows when a woman ""does the nasty"" (is promiscuous) and says ""All I know is money cash sex and j"""""
021b553f-2102-5bec-9cf4-e9365bcf4732,Cardi B,WAP,0,0,1,0,0,0,0,0,0,"""describes how she wants to be satisfied and brags about her sexual prowess and vitality"""
92c6d98e-6615-5a11-a7bb-c6f4d9692af5,Cali Swag District,Teach Me How To Dougie,1,0,0,0,0,0,0,0,0,"""instructs listeners on how to dougie"""
5eda41ca-1bb7-5e46-b39d-d613e11ed5c3,Boogie Down Productions,Poetry,1,0,0,0,1,0,0,0,0,"""brags about rapping ability and invites audience to dance"""
0bbfb2a2-59fa-5d35-9fb3-74137f4aeecd,Big Daddy Kane,I'll Take You There,0,0,0,0,0,0,0,1,0,"""describes a utopia where crime, poverty and starvation do not exist"""
d8cf159d-fca4-5633-977a-9841fac50ab8,A$AP Rocky,Highjack,0,0,1,0,1,0,0,0,0,"""expresses annoyance for people trying to one-up him"""
30da2506-fdee-5457-841e-e16997c74801,2Pac,Thugz Mansion,0,0,0,0,0,1,0,1,0,"""presents a more vulnerable look at his life and internal struggles"""
1b267967-2408-59f2-8683-7b10a2b146d2,2 Live Crew,We Want Some Pussy,0,0,1,0,0,0,0,0,0,"""explicitly expresses a desire to have sex"""
cc7f610a-08f4-50f2-946a-39608f7c2150,"['Y2K', 'bbno$']",Lalala,0,0,1,0,0,0,1,0,0,"""makes a joke about forgetting the lyrics to the song and brags about sexual encounters and money"""
549677b8-f6a3-5edb-9ec3-9646049e90fc,"['NLE Choppa', '41']",Or What?,0,0,1,0,0,0,1,0,0,"""plainly asks a woman to let him have sex with her"""
74843bd8-ef79-5bc6-9e75-05b2c7aa3321,"['Marky Mark', 'The Funky Bunch']",Wildside,0,0,0,0,0,0,0,1,0,"""tells stories of different people who are suffering in America because of drug use, poverty, and violence"""
2663e8aa-c5eb-55db-89b9-ad5952f78465,"['D.J. Magic Mike', 'M.C. Madness']",Dynamic Duo,1,0,0,0,1,0,0,0,0,"""mostly instrumental track with little lyrical content"""
8527b058-7234-5d0e-837a-dc322e180c0e,"['Cardi B', 'Megan Thee Stallion']",Bongos,0,0,1,0,0,0,0,0,0,"""tells partner to satisfy her sexually and compares her butt to bongos"""
